Train.Red Export for,Session at 2025-05-06 2:15 p.m.,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor 1,Train.Red FYER,,,,,,,,,,
-------------------------------------------------------------,,,,,,,,,,,
Sensor DataType,expertV13,,,,,,,,,,
Sensor ID,Train.Red FYER 0673,,,,,,,,,,
Mac Address,,,,,,,,,,,
Firmware Version,,,,,,,,,,,
Sensor Position,legRightUpperFront,,,,,,,,,,
2114.19,1,,68.18,36.81,1,0,,71.03,38.57,1,0
2114.19,1,,68.18,36.81,1,0,,70.93,38.95,1,0
2114.19,1,,68.18,36.81,1,0,,70.93,38.95,1,0
2114.19,1,,68.18,36.81,1,0,,69.57,38.74,1,0
2114.39,1,,68.18,36.81,1,0,,71.03,38.98,2,-1
2114.39,1,,68.18,36.81,1,0,,71.03,38.98,2,-1
2114.42,1,,68.18,36.81,1,0,,70.27,38.65,2,-1
2114.66,1,,68.18,36.81,1,0,,71.03,38.58,2,-1
2114.66,1,,68.18,36.81,1,0,,71.03,38.58,2,-1
2114.73,1,,68.18,36.81,1,0,,70.97,38.43,2,-1
2114.84,1,,68.18,36.81,1,0,,71.74,38.39,2,-1
2115.53,1,,66.65,37.64,1,0,,71.36,38.63,2,-1
2115.53,1,,66.65,37.64,1,0,,71.36,38.63,2,-1
2115.53,1,,66.65,37.64,1,0,,71.82,38.61,2,-1
2115.53,1,,66.65,37.64,1,0,,70.66,38.48,2,-1
2115.54,1,,66.65,37.64,1,0,,70.55,38.43,2,-1
2115.54,1,,66.65,37.64,1,0,,70.55,38.43,2,-1
2115.54,1,,66.65,37.64,1,0,,68.82,38.67,2,-1
2115.62,1,,68.33,37.28,1,0,,70.44,38.56,2,-1
2115.71,1,,68.33,37.28,1,0,,70.4,38.48,2,-1
2115.83,1,,68.22,37.25,1,0,,70.06,38.33,2,-1
2115.92,1,,68.08,37.25,1,0,,71.05,38.33,2,-1
2116.14,1,,67.7,37.42,1,0,,70.25,38.38,2,-1
2116.14,1,,67.7,37.42,1,0,,68.16,38.03,2,-1
2116.22,1,,67.75,37.49,1,0,,70.76,38.43,2,-1
2116.31,1,,67.75,37.49,1,0,,70.6,38.43,2,-1
2116.4,1,,68.22,37.54,1,0,,70.48,38.19,2,-1
2116.61,1,,68.02,37.72,1,0,,70.02,38.76,2,-1
2116.61,1,,68.02,37.72,1,0,,70.23,38.41,2,-1
2116.7,1,,68.02,37.72,1,0,,70.02,38.51,2,-1
2116.92,1,,68.44,37.49,1,0,,70.49,38.42,2,-1
2116.94,1,,68.44,37.49,1,0,,70.7,38.38,2,-1
2117.03,1,,67.91,37.61,1,0,,71.16,38.44,2,-1
2117.12,1,,68.38,36.98,1,0,,70.82,38.22,2,-1
2117.21,1,,67.59,37.51,1,0,,71.39,38.53,2,-1
2117.33,1,,67.81,37.37,1,0,,71.41,38.46,2,-1
2117.4,1,,67.81,37.37,1,0,,71.37,38.24,2,-1
2117.51,1,,67.81,37.37,1,0,,69.63,38.25,2,-1
2117.6,1,,68.03,37.45,1,0,,71,38.17,2,-1
2117.69,1,,68.03,37.45,1,0,,70.17,38.13,2,-1
